Hi,Wa,Rm,Wm,Te
11000.0,4.0,1.0,4.0,50.0
8000.0,4.0,1.0,4.0,20.0
5000.0,4.0,1.0,6.0,1.0
6000.0,4.0,10.0,6.0,30.0
1160.0,4.0,10.0,6.0,30.0
300.0,4.0,1.0,4.0,53.0
2000.0,4.0,10.0,4.0,20.0
3000.0,4.0,1.0,4.0,20.0
5300.0,3.0,1.0,6.0,15.0
5030.0,3.0,1.0,6.0,15.0
8000.0,3.0,1.0,6.0,5.0
0.0,3.0,1.0,5.0,16.0
4500.0,4.0,1.0,1.0,15.0
0.0,2.0,1.0,6.0,29.0
1500.0,3.0,1.0,5.0,15.0
2000.0,3.0,1.0,6.0,15.0
18000.0,4.0,8.0,4.0,15.0
3000.0,3.0,1.0,5.0,15.0
11030.0,4.0,1.0,5.0,15.0
5500.0,4.0,8.0,4.0,9.0
1500.0,4.0,1.0,5.0,17.0
5700.0,3.0,1.0,6.0,1.0
1200.0,3.0,1.0,6.0,14.0
1300.0,4.0,1.0,5.0,14.0
5000.0,3.0,1.0,6.0,14.0
1120.0,3.0,1.0,5.0,13.0
3000.0,3.0,1.0,6.0,14.0
3000.0,3.0,1.0,5.0,18.0
0.0,3.0,10.0,6.0,12.0
5000.0,3.0,7.0,6.0,11.0
4100.0,4.0,1.0,6.0,12.0
0.0,3.0,1.0,5.0,18.0
4000.0,3.0,1.0,11.0,18.0
4000.0,3.0,1.0,6.0,14.0
4000.0,3.0,1.0,5.0,23.0
1140.0,4.0,1.0,6.0,23.0
1000.0,3.0,1.0,5.0,18.0
1140.0,3.0,1.0,6.0,17.0
1100.0,3.0,1.0,11.0,18.0
4500.0,3.0,1.0,6.0,18.0
4000.0,3.0,1.0,5.0,18.0
0.0,3.0,1.0,6.0,3.0
2280.0,4.0,1.0,6.0,23.0
6000.0,3.0,1.0,6.0,23.0
2280.0,3.0,1.0,5.0,8.0
1140.0,3.0,1.0,6.0,7.0
0.0,3.0,1.0,5.0,10.0
0.0,3.0,1.0,5.0,1.0
1140.0,3.0,1.0,4.0,7.0
2000.0,2.0,1.0,5.0,8.0
1140.0,3.0,1.0,6.0,8.0
1140.0,3.0,1.0,6.0,8.0
1140.0,3.0,1.0,5.0,8.0
1140.0,3.0,1.0,6.0,8.0
2000.0,3.0,1.0,5.0,3.0
1140.0,4.0,10.0,5.0,59.0
0.0,4.0,8.0,4.0,36.0
2280.0,4.0,1.0,4.0,50.0
1100.0,4.0,10.0,6.0,30.0
1160.0,4.0,1.0,5.0,28.0
3000.0,4.0,8.0,4.0,30.0
3000.0,4.0,1.0,6.0,1.0
1200.0,4.0,1.0,6.0,8.0
2320.0,4.0,8.0,6.0,29.0
4000.0,4.0,10.0,5.0,54.0
0.0,4.0,10.0,5.0,46.0
1160.0,4.0,10.0,6.0,30.0
1160.0,4.0,8.0,6.0,40.0
5000.0,4.0,10.0,6.0,25.0
0.0,4.0,1.0,4.0,20.0
3480.0,4.0,1.0,4.0,40.0
8000.0,4.0,10.0,5.0,3.0
1500.0,4.0,10.0,5.0,51.0
4500.0,4.0,1.0,4.0,13.0
0.0,4.0,1.0,4.0,12.0
